timestamp,open,high,low,close,adjusted close,volume,dividend amount
2012-07-31,1362.3300,1391.7400,1325.4100,1379.3199,1379.3199,73103810000,0.0000
2012-06-29,1309.8700,1363.4600,1266.7400,1362.1600,1362.1600,81582440000,0.0000
2012-05-31,1397.8600,1415.3199,1291.9800,1310.3300,1310.3300,86920490000,0.0000
2012-04-30,1408.4700,1422.3800,1357.3800,1397.9100,1397.9100,74761710000,0.0000
2012-03-30,1365.9000,1419.1500,1340.0300,1408.4700,1408.4700,83899660000,0.0000
2012-02-29,1312.4500,1378.0400,1312.4500,1365.6801,1365.6801,78385710000,0.0000
2012-01-31,1258.8600,1333.4700,1258.8600,1312.4100,1312.4100,79567560000,0.0000
2011-12-30,1246.9100,1269.3700,1202.3700,1257.6000,1257.6000,74742430000,0.0000
2011-11-30,1251.0000,1277.5500,1158.6600,1246.9600,1246.9600,84275050000,0.0000
2011-10-31,1131.2100,1292.6600,1074.7700,1253.3000,1253.3000,98063670000,0.0000
2011-09-30,1219.1200,1229.2900,1114.2200,1131.4200,1131.4200,102786820000,0.0000
2011-08-31,1292.5900,1307.3800,1101.5400,1218.8900,1218.8900,108419170000,0.0000
2011-07-29,1320.6400,1356.4800,1282.8600,1292.2800,1292.2800,81102170000,0.0000
2011-06-30,1345.2000,1345.2000,1258.0699,1320.6400,1320.6400,86122730000,0.0000
2011-05-31,1365.2100,1370.5800,1311.8000,1345.2000,1345.2000,81708980000,0.0000
2011-04-29,1329.4800,1364.5601,1294.7000,1363.6100,1363.6100,77364810000,0.0000
2011-03-31,1328.6400,1332.2800,1249.0500,1325.8300,1325.8300,89507640000,0.0000
2011-02-28,1289.1400,1344.0699,1289.1400,1327.2200,1327.2200,59223660000,0.0000
2011-01-31,1257.6200,1302.6700,1257.6200,1286.1200,1286.1200,92164940000,0.0000
2010-12-31,1186.6000,1262.6000,1186.6000,1257.6400,1257.6400,80984530000,0.0000
2010-11-30,1185.7100,1227.0800,1173.0000,1180.5500,1180.5500,87151070000,0.0000
2010-10-29,1143.4900,1196.1400,1131.8700,1183.2600,1183.2600,89536270000,0.0000
2010-09-30,1049.7200,1157.1600,1049.7200,1141.2000,1141.2000,79589450000,0.0000
2010-08-31,1107.5300,1129.2400,1039.7000,1049.3300,1049.3300,85738250000,0.0000
