Date,Open,High,Low,Close,Adjusted Close,Volume,dividend_amount,split_coefficient
2012-08-09,13174.7305,13200.2305,13125.0898,13165.1904,13165.1904,84350000,0,1
2012-08-08,13158.0996,13202.6504,13115.2402,13175.6396,13175.6396,84910000,0,1
2012-08-07,13118.6504,13215.9697,13118.4199,13168.5996,13168.5996,95240000,0,1
2012-08-06,13099.8799,13187.2803,13099.7197,13117.5098,13117.5098,84270000,0,1
2012-08-03,12884.8203,13133.1797,12884.8203,13096.1699,13096.1699,112390000,0,1
2012-08-02,12969.7002,12969.8496,12778.9004,12878.8799,12878.8799,112770000,0,1
2012-08-01,13007.4697,13074.8301,12951.1602,12976.1299,12976.1299,132780000,0,1
2012-07-31,13071.7197,13082.6602,13006.4805,13008.6797,13008.6797,125980000,0,1
2012-07-30,13075.3496,13128.6396,13042.8496,13073.0098,13073.0098,91730000,0,1
2012-07-27,12888.9102,13117.7402,12888.5303,13075.6602,13075.6602,161510000,0,1
2012-07-26,12680.5898,12931.2197,12680.5898,12887.9297,12887.9297,133620000,0,1
2012-07-25,12617.7695,12732.7695,12617.6201,12676.0498,12676.0498,127320000,0,1
2012-07-24,12720.9297,12730.0898,12521.8398,12617.3203,12617.3203,131530000,0,1
2012-07-23,12820.4502,12820.4502,12583.4102,12721.46,12721.46,137760000,0,1
2012-07-20,12942.6797,12942.8301,12810.3496,12822.5703,12822.5703,210770000,0,1
2012-07-19,12909.6104,12977.5703,12889.9297,12943.3604,12943.3604,139480000,0,1
2012-07-18,12796.9805,12921.9404,12754.6104,12908.7002,12908.7002,130070000,0,1
2012-07-17,12728.7305,12829.2305,12645.0996,12805.54,12805.54,119620000,0,1
2012-07-16,12776.3301,12779.5801,12690.0498,12727.21,12727.21,93500000,0,1
2012-07-13,12573.7305,12784.7305,12573.04,12777.0898,12777.0898,121080000,0,1
2012-07-12,12602.71,12630.6396,12492.25,12573.2695,12573.2695,142760000,0,1
2012-07-11,12653.04,12661.9697,12534.3301,12604.5303,12604.5303,128420000,0,1
2012-07-10,12733.8701,12830.29,12606.9102,12653.1201,12653.1201,114760000,0,1
2012-07-09,12772.0195,12772.0195,12686.5703,12736.29,12736.29,100150000,0,1
2012-07-06,12889.4004,12889.4004,12702.9902,12772.4697,12772.4697,96760000,0,1
2012-07-05,12941.8496,12961.2998,12852.2402,12896.6699,12896.6699,97800000,0,1
2012-07-03,12868.0596,12946.2002,12845.2803,12943.6602,12943.6602,63850000,0,1
2012-07-02,12879.71,12902.1201,12795.4805,12871.3896,12871.3896,109640000,0,1
2012-06-29,12604.5996,12880.3896,12604.5303,12880.0898,12880.0898,191630000,0,1
2012-06-28,12626.25,12626.25,12450.1699,12602.2598,12602.2598,125870000,0,1
2012-06-27,12532.9297,12646.8701,12532.71,12627.0098,12627.0098,97950000,0,1
2012-06-26,12503.5703,12576.4102,12452.0303,12534.6699,12534.6699,109270000,0,1
2012-06-25,12639.7998,12639.8701,12458.0098,12502.6602,12502.6602,134090000,0,1
2012-06-22,12574.8203,12674.0801,12574.6699,12640.7803,12640.7803,209990000,0,1
2012-06-21,12823.0996,12857.3896,12561.46,12573.5703,12573.5703,146750000,0,1
2012-06-20,12837.0996,12877.1797,12744.9199,12824.3896,12824.3896,119110000,0,1
2012-06-19,12744.6201,12898.9404,12744.4697,12837.3301,12837.3301,125180000,0,1
2012-06-18,12767.0195,12781.9297,12696.1797,12741.8203,12741.8203,111280000,0,1
2012-06-15,12652.21,12774.7002,12651.3799,12767.1699,12767.1699,284290000,0,1
2012-06-14,12497.8896,12698.6797,12497.6602,12651.9102,12651.9102,128640000,0,1
2012-06-13,12566.3799,12598.25,12453.6904,12496.3799,12496.3799,125780000,0,1
2012-06-12,12412.0703,12577.0195,12411.9102,12573.7998,12573.7998,111360000,0,1
2012-06-11,12553.8096,12650.4697,12398.4805,12411.2305,12411.2305,121060000,0,1
2012-06-08,12460.8096,12554.2002,12398.4404,12554.2002,12554.2002,111810000,0,1
2012-06-07,12416.5303,12555.2598,12416.5303,12460.96,12460.96,131150000,0,1
2012-06-06,12125,12414.79,12125,12414.79,12414.79,140110000,0,1
2012-06-05,12101.0801,12147.5498,12072.1699,12127.9502,12127.9502,108970000,0,1
2012-06-04,12119.8496,12143.6904,12035.0898,12101.46,12101.46,126440000,0,1
2012-06-01,12391.5596,12391.6299,12107.4805,12118.5703,12118.5703,162940000,0,1
2012-05-31,12414.4102,12489.8701,12316.4805,12393.4502,12393.4502,205140000,0,1
2012-05-30,12579.0195,12579.0996,12396.4004,12419.8604,12419.8604,122830000,0,1
2012-05-29,12454.8301,12611.6104,12454.5996,12580.6904,12580.6904,107510000,0,1
2012-05-25,12530.7402,12533.1201,12421.5303,12454.8301,12454.8301,93000000,0,1
2012-05-24,12491.9102,12539.5898,12419.6299,12529.75,12529.75,126810000,0,1
2012-05-23,12501.5195,12508.2998,12311.5596,12496.1504,12496.1504,152190000,0,1
2012-05-22,12505.3799,12575.96,12447.3301,12502.8096,12502.8096,133650000,0,1
2012-05-21,12369.1504,12508.1104,12367.7197,12504.4805,12504.4805,142110000,0,1
2012-05-18,12443.0195,12492.9697,12336.7598,12369.3799,12369.3799,240720000,0,1
2012-05-17,12598.3203,12611.4199,12440.5195,12442.4902,12442.4902,147430000,0,1
2012-05-16,12617.3203,12722.6299,12597.3398,12598.5498,12598.5498,143130000,0,1
2012-05-15,12695.0498,12758.4297,12608.1602,12632,12632,156060000,0,1
2012-05-14,12818.4902,12818.8604,12661.4805,12695.3496,12695.3496,143190000,0,1
2012-05-11,12851.79,12918.0098,12779.2803,12820.5996,12820.5996,148370000,0,1
2012-05-10,12831.5801,12931.71,12820.2998,12855.04,12855.04,151650000,0,1
2012-05-09,12921.8096,12921.8096,12748.4805,12835.0596,12835.0596,147460000,0,1
2012-05-08,13000.7305,13000.7305,12810.3896,12932.0898,12932.0898,138620000,0,1
2012-05-07,13035.8496,13049.0898,12970,13008.5303,13008.5303,110080000,0,1
2012-05-04,13204.6201,13205,13022.3398,13038.2695,13038.2695,113790000,0,1
2012-05-03,13267.5898,13284.0898,13175.6396,13206.5898,13206.5898,102090000,0,1
2012-05-02,13278.1104,13278.1104,13192.21,13268.5703,13268.5703,100770000,0,1
2012-05-01,13214.1602,13338.6602,13174.6504,13279.3203,13279.3203,123400000,0,1
2012-04-30,13228.3096,13228.7598,13176.0098,13213.6299,13213.6299,127870000,0,1
2012-04-27,13204.7002,13266.6797,13192.21,13228.3096,13228.3096,110850000,0,1
2012-04-26,13090.1104,13227.8203,13075.96,13204.6201,13204.6201,107570000,0,1
2012-04-25,12997.6904,13105.7002,12993.5996,13090.7197,13090.7197,135260000,0,1
2012-04-24,12927.7695,13050.2998,12926.4902,13001.5596,13001.5596,134110000,0,1
2012-04-23,13028.2002,13028.2002,12845.5801,12927.1699,12927.1699,139370000,0,1
2012-04-20,12964.4805,13082.54,12964.25,13029.2598,13029.2598,212080000,0,1
2012-04-19,13028.7305,13080.2002,12896.8203,12964.0996,12964.0996,139810000,0,1
2012-04-18,13114.5596,13114.5596,13027.4902,13032.75,13032.75,113520000,0,1
2012-04-17,12921.79,13131.3604,12921.79,13115.54,13115.54,115320000,0,1
2012-04-16,12850.8799,12986.7695,12850.7998,12921.4102,12921.4102,120990000,0,1
2012-04-13,12986.2002,12986.3496,12845.2803,12849.5898,12849.5898,140990000,0,1
2012-04-12,12806.4502,12986.96,12806.2998,12986.5801,12986.5801,119780000,0,1
2012-04-11,12716.9199,12844.8203,12716.9199,12805.3896,12805.3896,125210000,0,1
2012-04-10,12929.4404,12929.5898,12710.5596,12715.9297,12715.9297,159290000,0,1
2012-04-09,13057.5703,13057.7197,12903.7803,12929.5898,12929.5898,105580000,0,1
2012-04-05,13067.1797,13088.1104,13012.46,13060.1396,13060.1396,109530000,0,1
2012-04-04,13198.1904,13198.1904,13020.8604,13074.75,13074.75,125000000,0,1
2012-04-03,13258.96,13265.3604,13131.21,13199.5498,13199.5498,123980000,0,1
2012-04-02,13211.3604,13297.1104,13153.6904,13264.4902,13264.4902,108790000,0,1
2012-03-30,13147.9404,13224.4902,13147.7803,13212.04,13212.04,171190000,0,1
2012-03-29,13125.9902,13151.5703,13032.6699,13145.8203,13145.8203,136250000,0,1
2012-03-28,13195.3896,13212.6396,13069.2598,13126.21,13126.21,141540000,0,1
2012-03-27,13242.0898,13264.9805,13194.3301,13197.7305,13197.7305,129280000,0,1
2012-03-26,13082.6201,13243.8604,13082.3896,13241.6299,13241.6299,122080000,0,1
2012-03-23,13045.9902,13099.9102,13002.7695,13080.7305,13080.7305,129930000,0,1
2012-03-22,13124.4004,13124.4697,13017.4199,13046.1396,13046.1396,122060000,0,1
2012-03-21,13170.79,13190.0195,13112.9297,13124.6201,13124.6201,124860000,0,1
2012-03-20,13238.4502,13238.4502,13123.3799,13170.1904,13170.1904,131660000,0,1
2012-03-19,13231.9404,13269.71,13208.6299,13239.1299,13239.1299,147120000,0,1
